# 8ab8425b-7b01-4e7b-a8c4-e6762b93ec54
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 15.0251252; 18.1240527; 1.7069405; 0.8516249; 3.0000000; 0.0000000
0.1996219; 14.8307936; 18.0809571; 1.8678936; 0.7554337; 3.0000000; 0.0000000
0.3992439; 14.6448700; 18.0091938; 2.0062572; 0.6305774; 3.0000000; 0.0000000
0.5988658; 14.4689456; 17.9143688; 2.1200408; 0.5099695; 3.0000000; 0.0000000
0.7984877; 14.3040306; 17.8023788; 2.2112690; 0.4085193; 3.0000000; 0.0000000
0.9981096; 14.1488713; 17.6773331; 2.2843211; 0.3277398; 3.0000000; 0.0000000
1.1977316; 14.0020888; 17.5422305; 2.3431464; 0.2645702; 3.0000000; 0.0000000
1.3973535; 13.8625954; 17.3994579; 2.3908313; 0.2150638; 3.0000000; 0.0000000
1.5969754; 13.7293531; 17.2507704; 2.4297325; 0.1764612; 3.0000000; 0.0000000
1.7965974; 13.6014361; 17.0974521; 2.4617222; 0.1437855; 3.0000000; 0.0000000
1.9962193; 13.4779853; 16.9404932; 2.4878350; 0.1229613; 3.0000000; 0.0000000
2.1958412; 13.3584109; 16.7805414; 2.5103795; 0.0882890; 3.0000000; 0.0000000
2.3954632; 13.2416235; 16.6185171; 2.5216586; 0.0271414; 3.0000000; 0.0000000
2.5950851; 13.1257367; 16.4558265; 2.5223175; -0.0068408; 3.0000000; 0.0000000
2.7947070; 13.0097540; 16.2931877; 2.5223229; 0.0042602; 3.0000000; 0.0000000
2.9943289; 12.8938635; 16.1305004; 2.5228079; 0.0008319; 3.0000000; 0.0000000
3.1939509; 12.7780951; 15.9678876; 2.5230228; 0.0013208; 3.0000000; 0.0000000
3.3935728; 12.6623616; 15.8052456; 2.5232157; 0.0005159; 3.0000000; 0.0000000
3.5931947; 12.5466038; 15.6425329; 2.5232397; -0.0002462; 3.0000000; 0.0000000
3.7928167; 12.4308165; 15.4797961; 2.5231149; -0.0010209; 3.0000000; 0.0000000
3.9924386; 12.3149940; 15.3170800; 2.5228316; -0.0017995; 3.0000000; 0.0000000
4.1920605; 12.1991332; 15.1544337; 2.5224017; -0.0024096; 3.0000000; 0.0000000
4.3916825; 12.0832519; 14.9919230; 2.5218903; -0.0025218; 3.0000000; 0.0000000
4.5913044; 11.9673305; 14.8295245; 2.5214490; -0.0019269; 3.0000000; 0.0000000
4.7909263; 11.8513416; 14.6671649; 2.5211075; -0.0014953; 3.0000000; 0.0000000
4.9905482; 11.7352992; 14.5048330; 2.5208492; -0.0010887; 3.0000000; 0.0000000
5.1901702; 11.6191462; 14.3424220; 2.5206665; -0.0007379; 3.0000000; 0.0000000
5.3897921; 11.5029762; 14.1800381; 2.5205492; -0.0004383; 3.0000000; 0.0000000
5.5894140; 11.3868019; 14.0176790; 2.5204870; -0.0001898; 3.0000000; 0.0000000
5.7890360; 11.2706286; 13.8553344; 2.5204695; 0.0000078; 3.0000000; 0.0000000
5.9886579; 11.1544602; 13.6929967; 2.5204867; 0.0001560; 3.0000000; 0.0000000
6.1882798; 11.0383001; 13.5306600; 2.5205288; 0.0002577; 3.0000000; 0.0000000
6.3879018; 10.9221504; 13.3683205; 2.5205869; 0.0003165; 3.0000000; 0.0000000
6.5875237; 10.8060123; 13.2059755; 2.5206529; 0.0003371; 3.0000000; 0.0000000
6.7871456; 10.6898858; 13.0436240; 2.5207196; 0.0003251; 3.0000000; 0.0000000
6.9867675; 10.5737703; 12.8812656; 2.5207811; 0.0002864; 3.0000000; 0.0000000
7.1863895; 10.4576642; 12.7189008; 2.5208328; 0.0002279; 3.0000000; 0.0000000
7.3860114; 10.3415655; 12.5565310; 2.5208713; 0.0001559; 3.0000000; 0.0000000
7.5856333; 10.2254718; 12.3941574; 2.5208949; 0.0000798; 3.0000000; 0.0000000
7.7852553; 10.1093808; 12.2317820; 2.5209032; 0.0000034; 3.0000000; 0.0000000
7.9848772; 9.9932900; 12.0694067; 2.5208971; -0.0000610; 3.0000000; 0.0000000
8.1844991; 9.8771930; 11.9070266; 2.5208825; -0.0000728; 3.0000000; 0.0000000
8.3841210; 9.7610892; 11.7446419; 2.5208692; -0.0000578; 3.0000000; 0.0000000
8.5837430; 9.6449837; 11.5822587; 2.5208589; -0.0000474; 3.0000000; 0.0000000
8.7833649; 9.5288769; 11.4198770; 2.5208504; -0.0000366; 3.0000000; 0.0000000
8.9829868; 9.4127688; 11.2574960; 2.5208442; -0.0000259; 3.0000000; 0.0000000
9.1826088; 9.2966598; 11.0951156; 2.5208401; -0.0000155; 3.0000000; 0.0000000
9.3822307; 9.1805504; 10.9327356; 2.5208380; -0.0000057; 3.0000000; 0.0000000
9.5818526; 9.0644408; 10.7703557; 2.5208378; 0.0000035; 3.0000000; 0.0000000
9.7814746; 8.9483313; 10.6079757; 2.5208394; 0.0000121; 3.0000000; 0.0000000
9.9810965; 8.8322222; 10.4455955; 2.5208426; 0.0000198; 3.0000000; 0.0000000
10.1807184; 8.7161137; 10.2832148; 2.5208472; 0.0000268; 3.0000000; 0.0000000
10.3803403; 8.6000061; 10.1208335; 2.5208532; 0.0000328; 3.0000000; 0.0000000
10.5799623; 8.4838996; 9.9584515; 2.5208603; 0.0000380; 3.0000000; 0.0000000
